Order ID,Local ID,Time (Local),Device ID,Status,Product Name,Quantity,Unit Price (DA),Subtotal (DA),Order Total (DA)
5,1257fe9d-afab-4b21-8e10-201da3f491a2,12:11:00,Kiosk-1,synced,قهوة,1,30.00,30.00,30.00

,,,,,,,,Total Revenue,30.00 DA
,,,,,,,,Total Orders,1
