Order ID,Local ID,Time (Local),Device ID,Status,Product Name,Quantity,Unit Price (DA),Subtotal (DA),Order Total (DA)

,,,,,,,,Total Revenue,28.00 DA
,,,,,,,,Total Orders,4
