Order ID,Local ID,Time (Local),Device ID,Status,Product Name,Quantity,Unit Price (DA),Subtotal (DA),Order Total (DA)
51,43b62180-907e-444c-80a5-59f2774be7d2,10:05:55,Kiosk-1,synced,قهوة,1,30.00,30.00,110.00
51,43b62180-907e-444c-80a5-59f2774be7d2,10:05:55,Kiosk-1,synced,حليب,1,40.00,40.00,
51,43b62180-907e-444c-80a5-59f2774be7d2,10:05:55,Kiosk-1,synced,ميلفاي,1,40.00,40.00,
52,85117809-112a-40b6-94a6-88b79485b2c2,10:06:10,Kiosk-1,synced,قهوة,1,30.00,30.00,170.00
52,85117809-112a-40b6-94a6-88b79485b2c2,10:06:10,Kiosk-1,synced,قهوة مشينة,1,70.00,70.00,
52,85117809-112a-40b6-94a6-88b79485b2c2,10:06:10,Kiosk-1,synced,كرام سيباري,1,70.00,70.00,
53,5dee1a15-686f-485d-9a53-21ddd5cf8332,10:06:22,Kiosk-1,synced,كرام سيباري,1,70.00,70.00,70.00
54,96104d57-b938-43ff-9d15-4edec93a5731,14:52:48,Kiosk-1,synced,كرام سيباري,1,70.00,70.00,110.00
54,96104d57-b938-43ff-9d15-4edec93a5731,14:52:48,Kiosk-1,synced,ميلفاي,1,40.00,40.00,
55,967f2480-4f7f-4191-8988-a9e612c2c9c7,14:56:00,Kiosk-1,synced,قهوة,1,30.00,30.00,180.00
55,967f2480-4f7f-4191-8988-a9e612c2c9c7,14:56:00,Kiosk-1,synced,كرام سيباري,1,70.00,70.00,
55,967f2480-4f7f-4191-8988-a9e612c2c9c7,14:56:00,Kiosk-1,synced,حليب,1,40.00,40.00,
55,967f2480-4f7f-4191-8988-a9e612c2c9c7,14:56:00,Kiosk-1,synced,ميلفاي,1,40.00,40.00,
56,b9f34e4f-b0bc-4b61-a08e-8586268825c4,14:57:07,Kiosk-1,synced,قهوة مشينة,1,70.00,70.00,70.00
57,8f7b83dc-3c4e-437b-b763-9175f9ac460c,17:07:48,Kiosk-1,synced,ماء كبير,1,50.00,50.00,50.00

,,,,,,,,Total Revenue,760.00 DA
,,,,,,,,Total Orders,7
